,VCF0113,VCF0146,VCF0311,VCF0380,VCF0740,VCF0204_dk,VCF0211,VCF0212,VCF0217_dk,VCF0220_dk,VCF0223_dk,VCF0224_dk,VCF0231_dk,VCF0233_dk,VCF0425_dk,VCF0426_dk,VCF0428_dk,VCF0471_dk,VCF0906_dk,VCF9056_dk,VCF9057_dk,VCF0801,VCF0806_dk,VCF0886_dk,VCF9048_dk,VCF0853_dk,VCF9017_dk,VCF9040_dk,VCF9041_dk,VCF9042_dk,VCF0451_dk,VCF0838_dk,VCF0871_dk,VCF0872_dk,VCF0881_dk,VCF0105a_oh0,VCF0105a_oh2,VCF0107_oh3,VCF0116_oh3,VCF0116_oh7,VCF0147_oh4,VCF0713_oh1,VCF0713_oh2,VCF0713_oh3,VCF0713_oh4,VCF0714_oh1,VCF9030_oh5,VCF9132_oh0,VCF9132_oh3,VCF0604_int
28,1,0.0,0.0,0.0,0.0,False,40.0,30.0,False,False,False,False,False,False,False,False,False,False,False,False,False,40.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
29,0,1.0,1.0,1.0,0.0,False,40.0,70.0,False,True,False,False,False,False,False,False,False,False,True,False,False,60.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
30,0,1.0,1.0,0.0,0.0,False,50.0,50.0,False,False,False,False,False,False,False,False,False,False,True,True,True,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
31,0,0.0,1.0,0.0,0.0,False,60.0,60.0,False,False,False,False,False,False,True,False,False,False,True,False,False,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
32,1,1.0,1.0,1.0,0.0,False,50.0,50.0,False,False,False,False,False,False,False,False,False,False,True,True,False,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
33,1,0.0,1.0,0.0,0.0,False,85.0,40.0,False,False,False,False,False,False,False,False,False,False,False,False,False,25.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
34,0,1.0,1.0,0.0,0.0,False,50.0,50.0,False,False,False,False,False,False,False,False,False,False,False,False,False,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
35,0,0.0,1.0,1.0,0.0,False,70.0,-0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
36,0,1.0,1.0,1.0,1.0,False,65.0,65.0,False,False,False,False,False,False,True,False,False,False,False,False,False,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
37,0,1.0,1.0,0.0,0.0,False,50.0,50.0,False,False,False,False,False,False,True,False,False,False,False,False,True,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5
38,0,1.0,1.0,1.0,0.0,False,25.0,75.0,False,False,False,False,False,False,True,False,False,False,False,False,False,70.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
39,0,1.0,1.0,0.0,0.0,False,50.0,50.0,False,False,False,False,False,False,False,False,False,False,False,False,False,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
40,0,1.0,1.0,0.0,0.0,False,50.0,50.0,False,False,False,False,False,False,True,False,False,False,False,False,False,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.5
41,0,1.0,1.0,1.0,0.0,False,80.0,-0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
42,0,1.0,1.0,1.0,0.0,False,30.0,75.0,False,False,False,False,False,False,False,False,False,False,False,False,False,70.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
43,0,1.0,1.0,1.0,1.0,False,80.0,70.0,False,False,False,False,False,False,True,False,False,False,False,False,False,40.0,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
44,0,1.0,1.0,,0.0,True,,,False,True,False,True,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
45,0,1.0,1.0,0.0,0.0,False,85.0,30.0,False,False,False,False,False,False,False,False,False,False,False,False,False,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
46,0,0.0,0.0,,0.0,False,60.0,40.0,False,False,False,False,False,False,False,False,False,False,False,False,True,35.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
47,0,0.0,1.0,0.0,0.0,False,50.0,50.0,False,False,False,False,False,False,True,False,False,False,False,False,False,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.5
48,1,1.0,1.0,1.0,0.0,False,95.0,70.0,False,False,False,False,False,False,False,False,False,False,True,False,False,35.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
49,1,1.0,1.0,1.0,1.0,False,20.0,90.0,False,False,False,False,False,False,False,False,False,False,False,False,False,80.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
