,gender,VCF0113,VCF0146,VCF0311,VCF0347,VCF0349,VCF0361,VCF0374,VCF0380,VCF0487,VCF0718,VCF0740,VCF0846,VCF0905,VCF9031,VCF0204_dk,VCF0206,VCF0211,VCF0212,VCF0217_dk,VCF0220_dk,VCF0223_dk,VCF0224_dk,VCF0228,VCF0231_dk,VCF0233_dk,VCF0414_dk,VCF0424,VCF0426_dk,VCF0428_dk,VCF0428,VCF0471_dk,VCF0906_dk,VCF0907_dk,VCF0909_dk,VCF9056_dk,VCF9057_dk,VCF0801_dk,VCF0801,VCF0723,VCF0803,VCF0806_dk,VCF0830_dk,VCF9081,VCF9086_dk,VCF9092_dk,VCF9094_dk,VCF9095_dk,VCF0886_dk,VCF0890,VCF9048_dk,VCF9049_dk,VCF0852,VCF0853_dk,VCF9015_dk,VCF9017_dk,VCF9040_dk,VCF9041_dk,VCF9042_dk,VCF0148,VCF0301,VCF0305,VCF0451_dk,VCF0838_dk,VCF0847,VCF0867a_dk,VCF0870_dk,VCF0871_dk,VCF0872_dk,VCF0881_dk,VCF0105a_oh0,VCF0105a_oh2,VCF0105a_oh4,VCF0107_oh0,VCF0107_oh3,VCF0107_oh4,VCF0107_oh6,VCF0116_oh3,VCF0116_oh7,VCF0128_oh0,VCF0128_oh4,VCF0147_oh3,VCF0147_oh4,VCF0149_oh2,VCF0149_oh3,VCF0302_oh0,VCF0713_oh1,VCF0713_oh2,VCF0713_oh3,VCF0713_oh4,VCF0714_oh0,VCF0714_oh2,VCF0804_oh3,VCF1004_oh0,VCF9030_oh0,VCF9030_oh3,VCF9030_oh5,VCF9131_oh0,VCF9131_oh1,VCF9132_oh0,VCF9132_oh3,VCF9133_oh3,VCF0206_int,VCF0290_int,VCF0413_int,VCF0414_int,VCF0425_int,VCF0906_int,VCF9057_int,VCF0604_int,VCF0605_int
390,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,50.0,50.0,50.0,False,False,False,False,50.0,False,False,True,50.0,False,False,50.0,False,False,False,False,False,True,False,45.0,1.0,,True,False,3.0,False,False,False,True,False,2.0,False,False,4.0,False,False,False,False,False,False,2.0,3.0,2.0,False,False,0.0,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,,,,0.5,1.0
391,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,50.0,50.0,60.0,False,False,False,False,50.0,False,False,False,50.0,False,False,40.0,False,False,False,False,False,False,False,50.0,1.0,,False,False,5.0,False,False,False,False,False,2.0,False,False,2.0,False,False,False,False,False,False,7.0,6.0,3.0,False,False,2.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,400.0,225.0,100.0,0.0,0.0,0.5,1.0
392,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,False,70.0,60.0,40.0,False,False,False,False,60.0,False,False,False,40.0,False,False,50.0,False,False,False,False,False,False,False,35.0,1.0,4.0,False,False,5.0,False,False,False,False,False,2.0,False,False,2.0,False,False,False,False,False,False,2.0,4.0,1.0,False,False,1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,225.0,625.0,0.0,100.0,100.0,400.0,0.5,1.0
393,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,False,65.0,65.0,70.0,False,False,False,False,60.0,False,False,False,15.0,False,False,30.0,False,False,False,False,False,False,False,50.0,2.0,,False,False,1.0,False,False,False,False,False,3.0,False,False,2.0,False,False,False,False,False,True,4.0,5.0,2.0,False,False,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,225.0,25.0,900.0,400.0,100.0,25.0,400.0,0.5,1.0
394,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,False,50.0,70.0,60.0,False,False,False,False,60.0,False,False,True,70.0,False,False,15.0,False,False,False,False,False,False,False,40.0,2.0,,False,False,4.0,False,False,False,False,False,1.0,False,False,5.0,False,False,False,False,False,False,4.0,6.0,3.0,False,False,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,,,0.0,0.0,0.5,1.0
395,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,60.0,50.0,,False,False,False,False,50.0,False,False,True,50.0,False,False,85.0,False,False,False,False,False,False,True,,2.0,,False,False,4.0,False,False,False,False,False,2.0,False,False,2.0,False,False,False,False,False,False,2.0,3.0,2.0,False,False,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,625.0,25.0,,,100.0,,0.5,1.0
396,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,False,50.0,55.0,50.0,False,False,False,False,45.0,False,False,False,60.0,False,False,60.0,False,False,False,False,False,False,False,45.0,5.0,4.0,False,False,5.0,False,False,False,False,False,1.0,False,False,4.0,False,False,False,False,False,False,5.0,3.0,2.0,False,False,1.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,225.0,25.0,0.0,0.0,,0.5,1.0
397,0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,95.0,,,False,False,False,False,95.0,False,False,True,95.0,False,False,95.0,False,False,True,False,False,False,True,,1.0,,False,False,,True,True,True,True,False,1.0,False,False,,True,True,True,False,False,False,2.0,1.0,4.0,False,False,3.0,True,True,False,True,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2025.0,625.0,400.0,,,1225.0,,0.5,0.0
398,0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False,95.0,85.0,60.0,False,False,False,False,70.0,False,False,True,85.0,False,False,85.0,False,True,True,True,False,False,False,35.0,1.0,5.0,False,False,6.0,False,False,False,False,False,1.0,False,False,2.0,False,False,False,False,False,False,2.0,1.0,4.0,False,False,3.0,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025.0,225.0,400.0,,,,,0.5,1.0
399,0,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,False,85.0,60.0,70.0,False,False,False,False,60.0,False,False,False,70.0,False,False,85.0,False,False,False,False,False,False,False,50.0,1.0,,False,False,4.0,False,False,False,False,False,1.0,False,False,5.0,False,False,False,False,False,False,2.0,5.0,2.0,False,False,3.0,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1225.0,625.0,0.0,225.0,400.0,,,0.5,1.0
400,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,70.0,85.0,70.0,False,False,False,False,50.0,False,False,True,30.0,False,False,40.0,False,False,False,False,False,False,False,40.0,1.0,3.0,False,False,,True,True,True,True,False,1.0,False,False,2.0,False,False,False,False,False,False,5.0,6.0,3.0,False,False,3.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,400.0,900.0,225.0,,,,,0.5,1.0
401,0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,False,70.0,50.0,50.0,False,False,False,False,30.0,False,False,False,30.0,False,False,70.0,False,False,False,False,False,False,False,45.0,1.0,,False,False,3.0,False,True,False,True,False,1.0,False,False,1.0,False,False,False,False,False,False,,4.0,1.0,False,False,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,225.0,25.0,0.0,,,0.5,1.0
402,1,0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,70.0,60.0,50.0,False,False,False,False,70.0,False,False,False,70.0,False,False,70.0,False,False,True,True,False,True,False,40.0,1.0,,False,False,3.0,False,False,False,False,False,2.0,False,False,3.0,False,False,False,False,False,False,2.0,2.0,3.0,False,False,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,400.0,225.0,25.0,225.0,100.0,1225.0,,0.5,1.0
403,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,False,60.0,50.0,70.0,False,False,False,False,60.0,False,False,False,30.0,False,False,-0.0,False,False,False,False,False,True,False,55.0,2.0,,False,False,4.0,False,False,False,False,False,1.0,False,False,5.0,False,False,False,False,False,False,6.0,4.0,1.0,False,False,2.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,900.0,400.0,100.0,0.0,,0.5,1.0
404,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,95.0,50.0,70.0,False,False,False,False,95.0,False,False,False,95.0,False,False,95.0,False,True,False,True,False,False,False,55.0,1.0,4.0,False,False,5.0,False,False,False,False,False,1.0,False,False,2.0,False,False,False,False,False,False,2.0,1.0,4.0,False,False,3.0,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025.0,400.0,400.0,0.0,0.0,,,1.5,1.0
405,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,95.0,80.0,50.0,False,False,False,False,70.0,False,False,True,60.0,False,False,95.0,False,True,True,True,False,False,False,30.0,1.0,4.0,False,False,6.0,False,False,False,False,False,1.0,False,False,4.0,False,False,False,False,False,False,2.0,1.0,4.0,False,False,3.0,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025.0,25.0,25.0,,,,,0.5,1.0
406,1,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,80.0,,,True,True,False,False,60.0,False,False,True,85.0,False,False,80.0,False,True,True,True,False,False,True,,1.0,4.0,False,False,7.0,True,False,True,True,False,2.0,False,False,5.0,False,False,False,False,False,False,2.0,2.0,3.0,False,False,3.0,True,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,900.0,25.0,225.0,,,,,0.5,1.0
407,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False,85.0,85.0,60.0,False,False,False,False,70.0,False,False,False,70.0,False,False,85.0,False,False,False,False,False,False,False,35.0,1.0,,False,False,4.0,False,False,False,False,False,1.0,False,False,4.0,False,False,False,False,False,False,5.0,1.0,4.0,False,False,3.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1225.0,100.0,225.0,100.0,100.0,0.0,,0.5,1.0
